Gene	Name	Condition	TPM.RNA	TPM.Ssd1	ratio.Ssd1.RNA
YNL066W	SUN4	30	256.3379489441537	60708.80971595277	236.83114406591008
YIL123W	SIM1	30	383.8102844856371	25907.088392444617	67.49972431604841
YNL300W	TOS6	30	242.25795013200326	11749.539210877894	48.50011817765205
YGR041W	BUD9	30	76.28064464851283	3363.3613190284027	44.09193622479401
YIL042C	PKP1	30	24.08981370050804	831.8546709937061	34.531386640659775
YOR247W	SRL1	30	733.9747225474722	24539.941708980794	33.43431450037926
YHR143W	DSE2	30	543.3472438832462	17781.36265330973	32.725596482698954
YPR093C	ASR1	30	31.627260344045077	999.5251549075947	31.60327970347864
YOR248W	NA	30	695.0944127384068	19001.5204442269	27.336603626791007
YKR042W	UTH1	30	1399.1801621719014	37093.45741019548	26.510851435040735
YGR042W	NA	30	46.20574598139588	1173.4742621700573	25.396717166790054
YDR441C	APT2	30	21.02524557733208	518.0424271239161	24.639066650542837
YLR286C	CTS1	30	1369.2941357502061	31624.78889991291	23.0956870947135
YHR167W	THP2	30	26.746206520015463	537.1944598018498	20.084884164782082
YDR528W	HLR1	30	69.7803850388277	1388.231685429018	19.894296723306528
YBR158W	AMN1	30	340.8863577172166	6238.007327489453	18.299375103371585
YMR195W	ICY1	30	63.16451114654835	1154.1336262204893	18.27186825752165
YCL051W	LRE1	30	53.648724621802785	916.4345365978877	17.082130899817322
YLR110C	CCW12	30	3679.465078672922	51917.82806038168	14.110156490221932
YOR383C	FIT3	30	72.21103186960282	974.3648785800066	13.49329670762072
YGL178W	MPT5	30	54.669343882032535	730.6270233522221	13.364473971533208
YJL159W	HSP150	30	1291.4769478564801	16442.0440496687	12.731194371651982
YLR190W	MMR1	30	136.83461179481205	1599.041393686166	11.685942414072695
YKL061W	BLI1	30	22.20073028022214	250.91918353970155	11.302294130533028
YCL037C	SRO9	30	41.49121581143129	448.85548246748965	10.818084591867395
YJL194W	CDC6	30	24.540463498841227	259.8296168894841	10.587803971255594
YDR309C	GIC2	30	182.95567982112726	1924.712043539159	10.520099979519182
YIL134W	FLX1	30	20.993465201331098	218.86321957687977	10.42530222990546
YJL079C	PRY1	30	153.98457220808234	1556.9171726890631	10.110864681853782
YGR014W	MSB2	30	299.0550167614485	2839.2288718275468	9.494001814697379
YKL043W	PHD1	30	90.68248552737366	850.134520663825	9.374848028478455
YKL109W	HAP4	30	66.64451434533603	624.5489557455817	9.371348292964031
YPR065W	ROX1	30	101.79533651982817	946.0985483028918	9.29412466865421
YEL061C	CIN8	30	106.79456584829965	975.5227022645048	9.134572480497019
YNR020C	ATP23	30	23.346753871095594	206.7191729169931	8.854300433300125
YOR174W	MED4	30	43.70223039693985	381.9841851800599	8.74061075854855
YJR147W	HMS2	30	79.36837820450319	685.2539280672511	8.633840624809078
YDR320C-A	DAD4	30	34.21768217969794	285.8620762248872	8.354220917818187
YDR247W	VHS1	30	22.79323213856756	189.45432659303086	8.311867550914922
YER158C	NA	30	21.669740944142966	176.29527658698757	8.135550722152853
YPL076W	GPI2	30	24.854592823623328	191.49959426310824	7.704797082054601
YBR162C	TOS1	30	886.9127978506676	6753.764629199901	7.614913941445971
YDL232W	OST4	30	79.83469170584434	606.4119264138047	7.595844781967287
YPL269W	KAR9	30	36.55304790459692	275.19201588171074	7.528565513878871
YIL152W	NA	30	23.186947920476456	173.80628692412068	7.4958673957529305
YHR007C-A	NA	30	57.74966667608466	421.47659617595394	7.298338162538628
YKL101W	HSL1	30	307.23496869483154	2178.217254146776	7.08974392921511
YJR120W	NA	30	42.01069792610077	296.9911195386172	7.06941646294574
YGR279C	SCW4	30	751.1976136059061	5057.69842159522	6.732846763606192
YGR146C	ECL1	30	36.7316808706958	243.4369535733367	6.627438434693265
YPL189C-A	COA2	30	22.060655415696957	143.52521093245696	6.505935940159492
YDR133C	NA	30	507.8417442054334	3246.516153673537	6.39277135193567
YJL083W	TAX4	30	21.691520259972634	137.37414694446062	6.33308063695089
YLR285C-A	NA	30	236.87144982146413	1473.3675714088022	6.220114633989516
YPR140W	TAZ1	30	42.282292734091385	258.0699898960903	6.1035003829868835
YBR262C	MIC12	30	28.55672759804243	171.31729726125383	5.999192192910706
YGR221C	TOS2	30	39.36710747711956	231.87944924458128	5.890182543366978
YJL158C	CIS3	30	656.5629958762161	3842.6559588036616	5.852684331798879
YNR047W	FPK1	30	29.23294331872747	166.9258602666513	5.710196829879726
YOR385W	NA	30	28.82283982957687	163.26378594152186	5.6643893144070745
YPL256C	CLN2	30	222.74153667632538	1246.1957217910356	5.594806161375875
YKR013W	PRY2	30	322.5646780041522	1792.7595979132218	5.557829856033228
YPL024W	RMI1	30	38.38896271155447	212.28369457385816	5.529810642942017
YGL122C	NAB2	30	132.70291347939707	732.0857486911682	5.516727022009422
YKL185W	ASH1	30	164.8766467961488	885.5516572973286	5.37099507119533
YJL078C	PRY3	30	166.30628540853448	882.0324033105408	5.303662463170359
YGR205W	TDA10	30	38.07531543314289	201.75645456902353	5.298878086073672
YBL029C-A	NA	30	28.18533320046054	148.78883093487428	5.278945254138174
YCR079W	PTC6	30	32.94336197995766	169.70049060620173	5.151280270345372
YLR121C	YPS3	30	21.854338533068532	112.35669095521419	5.141161824010529
YNL197C	WHI3	30	146.47032007374514	744.5001750499741	5.082942227989478
